Mound,Transect,Date,Time,RLGH,CGH,GSGH,SLANT,SPUR,UNGH,LW,SBF,CWBF,MON,DRGN,BEES,LBEET,BEET,MOTH,BUTT,SNAIL,SPID,FLY,LANT,POTBEET,CATERP,BUG,KATY,ANT,WASP,MOSQ,APHID,PLANTH,SPIT,ADMIRABLE,CRICKET,GHTOTAL
E,E3SE,270,10:25,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E,E5S,270,10:30,13,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,13
E,E4S,277,9:39,31,10,15,0,0,0,0,0,0,0,0,0,5,0,11,2,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,56
N,N1N,277,9:40,7,0,2,0,0,30,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,7,0,0,0,0,0,0,10,0,0,9
N,N1N,277,9:40,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,NNE,277,9:40,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40
N,N3W,277,9:43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
N,N4E,277,10:12,25,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
E,E1E,277,10:12,15,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
E,E1N,277,10:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,E1N,277,10:15,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,10,0,0,0
E,E5,277,10:15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N,N1N,291,9:40,1,0,6,0,0,1,0,0,0,0,0,0,2,0,0,1,1,2,7,0,1,3,0,0,0,0,0,0,0,0,0,0,7
N,N2NE,291,9:41,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,N5E,291,9:43,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1
N,N3W,291,9:43,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
E,E1N,291,10:10,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E,E5S,291,10:10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,E4S,291,10:21,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E,E2E,291,10:24,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,N2NE,298,9:40,7,0,2,0,0,15,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,9
N,N1N,298,9:40,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
N,N3W,298,9:41,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
N,N5E,298,9:43,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24
N,N4E,298,9:55,1,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,50,0,2,0,0,0,0,0,0,0,0,0,0,0,2
E,E1N,298,10:09,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E,E4S,298,10:10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2
E,E2E,298,10:10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
E,E3SE,298,10:10,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10
E,E5S,298,10:15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
